text,category
"The product quality exceeded my expectations. Highly recommend!",review
"Terrible customer service. Never buying again.",review
"It's okay, nothing special but does the job.",review
"Absolutely love this! Best purchase I've made this year.",review
"The delivery was late and the packaging was damaged.",review
"Great value for money. Would buy again.",review
"Not what I expected based on the description.",review
"Average product, average price. Fair deal.",review
"Customer support was very helpful in resolving my issue.",review
"The instructions were confusing and incomplete.",review
